identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/availability,product/capacitystatus,product/clockSpeed,product/currentGeneration,product/durability,product/ecu,product/enhancedNetworkingSupported,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/licenseModel,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/region,product/servicecode,product/servicename,product/sku,product/storage,product/storageClass,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/volumeApiName,product/volumeType,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod
2ukvjxmdf6s5ulbh4qfftixt73zn5k3erba7zzxszd2sbl5y7soa,2020-10-05T18:53:25Z/2020-11-01T00:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Tax,2020-10-05T18:53:25Z,2020-11-01T00:00:00Z,AmazonEC2,USE2-BoxUsage:t2.large,RunInstances,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type USE2-BoxUsage:t2.large operation RunInstances,VAT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
njttm37kxt7vhgy7cy3xu2ikr2f2xhumf4cbcg4pgmnqocnjoeba,2020-10-05T18:53:25Z/2020-11-01T00:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Tax,2020-10-05T18:53:25Z,2020-11-01T00:00:00Z,AmazonEC2,USE2-BoxUsage:t2.medium,RunInstances,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type USE2-BoxUsage:t2.medium operation RunInstances,VAT,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kg4rdpt7ajsacug5r73i2hmke4tjaxw2nigvbqpwaf3fdxfhrglq,2020-10-05T18:53:17Z/2020-11-01T00:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Tax,2020-10-05T18:53:17Z,2020-11-01T00:00:00Z,AWSDataTransfer,USE2-DataTransfer-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type USE2-DataTransfer-Out-Bytes,VAT,"Amazon Web Services, Inc.",AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qjmmzka3qinihgnuv4k4lbyrsk7dlnuqoccesruh42fhjxqfoa2q,2020-10-05T18:53:17Z/2020-11-01T00:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Tax,2020-10-05T18:53:17Z,2020-11-01T00:00:00Z,AWSDataTransfer,USE2-EUC1-AWS-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type USE2-EUC1-AWS-Out-Bytes,VAT,"Amazon Web Services, Inc.",AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hfen22bizah7cnwuhgigz7mt5ohd5qjyt6hw2blqgegsf4iibrca,2020-10-05T18:53:17Z/2020-11-01T00:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Tax,2020-10-05T18:53:17Z,2020-11-01T00:00:00Z,AWSDataTransfer,USE2-EUW2-AWS-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type USE2-EUW2-AWS-Out-Bytes,VAT,"Amazon Web Services, Inc.",AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tm6kptqs4wzi7bmkvbkcha67o5sevffwp4d4ixe5kqobtbyies3a,2020-10-05T18:53:17Z/2020-11-01T00:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Tax,2020-10-05T18:53:17Z,2020-11-01T00:00:00Z,AWSDataTransfer,USE2-SAE1-AWS-Out-Bytes,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AWSDataTransfer usage type USE2-SAE1-AWS-Out-Bytes,VAT,"Amazon Web Services, Inc.",AWS Data Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otdnh2zdoyrblldp4mpistaz7bf33vnlhgnhfssj42jbgcwkqe6q,2020-10-05T19:00:00Z/2020-10-05T20:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Usage,2020-10-05T19:00:00Z,2020-10-05T20:00:00Z,AmazonEC2,USE2-BoxUsage:t2.micro,RunInstances,us-east-2c,i-01ca606c0561e996f,1.0000000000,0.5,0.50000000000,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per Linux t2.micro instance-hour (or partial hour) under monthly free tier,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,Used,Up to 3.3 GHz,Yes,,Variable,No,,,,,General purpose,t2.micro,t2,No,Yes,Yes,No License required,US East (Ohio),AWS Region,,,,,1 GiB,Low to Moderate,0.5,Linux,RunInstances,Intel Xeon Family,NA,32-bit or 64-bit,Intel AVX; Intel Turbo,Compute Instance,us-east-2,AmazonEC2,Amazon Elastic Compute Cloud,F9GPUA3E29X6GJVE,EBS only,,,Shared,,,,USE2-BoxUsage:t2.micro,1,,,2363494248,USD,0.0116000000,0.0116000000,,Hrs,,,,,,,,,,4318863735,,,,,,,,,,,,,,,
3imcsqtogfrh5qfqzoazd5nbz5h32v7rlk2nyuyrkq3ur7v4patq,2020-10-05T19:00:00Z/2020-10-05T20:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Usage,2020-10-05T19:00:00Z,2020-10-05T20:00:00Z,AmazonEC2,USE2-DataTransfer-In-Bytes,RunInstances,,i-01ca606c0561e996f,0.0007193843,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.000 per GB - data transfer in per month,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,External,Other,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,us-east-2,AWSDataTransfer,AWS Data Transfer,5CHDB6K4USP8QXF3,,,,,US East (Ohio),AWS Region,AWS Inbound,USE2-DataTransfer-In-Bytes,,,,2276573399,USD,0.0000000000,0.0000000000,OnDemand,GB,,,,,,,,,,4318863737,,,,,,,,,,,,,,,
idt6ln3mpaqtuuqo6gat2ua6eoc54gggey6xsbmhag3pxlrpexza,2020-10-05T19:00:00Z/2020-10-05T20:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Usage,2020-10-05T19:00:00Z,2020-10-05T20:00:00Z,AmazonEC2,USE2-DataTransfer-Out-Bytes,RunInstances,,i-01ca606c0561e996f,0.0000147233,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.000 per GB - data transfer out under the monthly global free tier,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,US East (Ohio),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,Data Transfer,us-east-2,AWSDataTransfer,AWS Data Transfer,36H7S3NU9B7S3UT5,,,,,External,Other,AWS Outbound,USE2-DataTransfer-Out-Bytes,,,,2276415843,USD,0.0000013251,0.0900000000,,GB,,,,,,,,,,4318863737,,,,,,,,,,,,,,,
7o45hp3j5v5y32h3eo7mrehepqfuta5zwnej7tnz257v6dzpsfeq,2020-10-05T19:00:00Z/2020-10-05T20:00:00Z,,AWS,Anniversary,152442194835,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,152442194835,Usage,2020-10-05T19:00:00Z,2020-10-05T20:00:00Z,AmazonEC2,USE2-EBS:VolumeUsage.gp2,CreateVolume-Gp2,,vol-0a5372e30a7f3520f,0.0107526882,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per GB-month of General Purpose (SSD) provisioned storage under monthly free tier,,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,US East (Ohio),AWS Region,3000 for volumes <= 1 TiB,16000,250 MiB/s,16 TiB,,,,,,,,,,Storage,us-east-2,AmazonEC2,Amazon Elastic Compute Cloud,SCM63QZA8NKUYACF,,,SSD-backed,,,,,USE2-EBS:VolumeUsage.gp2,,gp2,General Purpose,2363494358,USD,0.0010752688,0.1000000000,,GB-Mo,,,,,,,,,,4318863735,,,,,,,,,,,,,,,
